DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,1.0,37.0,11.0,28.0,8.0,3.0,3.0,0.0,0.0,13.0,1.0,0.0,58.0,0.0
2019-01-02,0.0,26.0,7.0,33.0,9.0,5.0,4.0,0.0,0.0,14.0,2.0,0.0,75.0,0.0
2019-01-03,1.0,33.0,7.0,33.0,13.0,7.0,4.0,0.0,0.0,16.0,0.0,0.0,67.0,0.0
2019-01-04,0.0,33.0,10.0,38.0,7.0,5.0,8.0,0.0,0.0,19.0,0.0,1.0,65.0,0.0
2019-01-05,0.0,26.0,12.0,42.0,11.0,3.0,6.0,0.0,0.0,21.0,2.0,0.0,52.0,0.0
2019-01-06,0.0,22.0,7.0,19.0,16.0,3.0,4.0,0.0,0.0,11.0,1.0,1.0,58.0,0.0
2019-01-07,0.0,23.0,4.0,39.0,10.0,10.0,5.0,0.0,0.0,14.0,0.0,0.0,60.0,0.0
2019-01-08,0.0,29.0,15.0,24.0,8.0,7.0,6.0,0.0,0.0,16.0,0.0,0.0,76.0,0.0
2019-01-09,0.0,35.0,8.0,24.0,15.0,3.0,4.0,0.0,0.0,15.0,0.0,0.0,66.0,0.0
2019-01-10,0.0,34.0,10.0,38.0,9.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,59.0,0.0
2019-01-11,0.0,33.0,12.0,43.0,13.0,8.0,7.0,0.0,0.0,16.0,0.0,0.0,57.0,0.0
2019-01-12,0.0,38.0,12.0,24.0,9.0,7.0,7.0,0.0,0.0,17.0,0.0,0.0,47.0,0.0
2019-01-13,0.0,25.0,10.0,25.0,13.0,4.0,7.0,0.0,0.0,14.0,0.0,0.0,75.0,0.0
2019-01-14,0.0,23.0,5.0,33.0,6.0,9.0,6.0,0.0,0.0,17.0,0.0,0.0,57.0,0.0
2019-01-15,0.0,37.0,17.0,40.0,15.0,7.0,7.0,0.0,0.0,12.0,0.0,0.0,61.0,0.0
2019-01-16,0.0,28.0,10.0,31.0,8.0,5.0,7.0,0.0,0.0,21.0,0.0,0.0,82.0,0.0
2019-01-17,1.0,33.0,10.0,34.0,9.0,6.0,7.0,0.0,0.0,22.0,1.0,0.0,86.0,0.0
2019-01-18,0.0,31.0,9.0,37.0,8.0,9.0,6.0,0.0,0.0,30.0,0.0,0.0,64.0,0.0
2019-01-19,0.0,31.0,7.0,28.0,11.0,10.0,8.0,0.0,0.0,21.0,0.0,1.0,82.0,0.0
2019-01-20,0.0,32.0,11.0,44.0,8.0,4.0,4.0,0.0,0.0,16.0,1.0,0.0,76.0,0.0
2019-01-21,2.0,31.0,12.0,29.0,8.0,7.0,5.0,0.0,0.0,16.0,0.0,0.0,81.0,0.0
2019-01-22,0.0,33.0,14.0,37.0,14.0,5.0,3.0,0.0,0.0,22.0,0.0,0.0,73.0,0.0
2019-01-23,0.0,37.0,10.0,26.0,8.0,4.0,7.0,0.0,0.0,20.0,2.0,0.0,62.0,0.0
2019-01-24,0.0,31.0,8.0,25.0,11.0,2.0,9.0,0.0,0.0,18.0,0.0,0.0,69.0,0.0
2019-01-25,0.0,20.0,9.0,24.0,10.0,11.0,12.0,0.0,0.0,11.0,0.0,0.0,61.0,0.0
2019-01-26,0.0,26.0,7.0,31.0,8.0,6.0,6.0,0.0,0.0,20.0,0.0,0.0,61.0,0.0
2019-01-27,0.0,30.0,8.0,45.0,14.0,4.0,4.0,0.0,0.0,17.0,0.0,0.0,52.0,0.0
2019-01-28,0.0,34.0,10.0,48.0,10.0,5.0,6.0,0.0,0.0,18.0,1.0,0.0,65.0,0.0
2019-01-29,0.0,31.0,8.0,29.0,11.0,4.0,3.0,0.0,0.0,15.0,0.0,0.0,65.0,0.0
2019-01-30,0.0,28.0,11.0,35.0,10.0,8.0,5.0,0.0,0.0,17.0,0.0,0.0,86.0,0.0
