DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,0.0,51.0,9.0,33.0,13.0,0.0,3.0,0.0,0.0,19.0,0.0,1.0,86.0,0.0
2019-01-02,0.0,50.0,14.0,31.0,22.0,3.0,4.0,0.0,0.0,22.0,0.0,3.0,80.0,0.0
2019-01-03,0.0,46.0,11.0,37.0,24.0,0.0,9.0,0.0,0.0,23.0,0.0,0.0,92.0,0.0
2019-01-04,0.0,43.0,11.0,23.0,25.0,2.0,7.0,0.0,0.0,23.0,2.0,1.0,81.0,0.0
2019-01-05,0.0,56.0,12.0,33.0,14.0,1.0,4.0,0.0,0.0,13.0,0.0,0.0,76.0,0.0
2019-01-06,1.0,68.0,9.0,19.0,18.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,53.0,0.0
2019-01-07,0.0,59.0,6.0,30.0,26.0,2.0,2.0,0.0,0.0,30.0,0.0,2.0,68.0,0.0
2019-01-08,0.0,52.0,11.0,35.0,16.0,6.0,7.0,0.0,0.0,23.0,1.0,1.0,72.0,0.0
2019-01-09,0.0,54.0,13.0,30.0,13.0,4.0,10.0,0.0,0.0,20.0,0.0,1.0,69.0,0.0
2019-01-10,0.0,58.0,19.0,36.0,20.0,4.0,9.0,0.0,0.0,21.0,0.0,1.0,99.0,0.0
2019-01-11,0.0,50.0,15.0,38.0,18.0,3.0,4.0,0.0,0.0,19.0,0.0,0.0,76.0,0.0
2019-01-12,0.0,50.0,12.0,25.0,19.0,4.0,6.0,0.0,0.0,21.0,0.0,0.0,75.0,0.0
2019-01-13,0.0,53.0,10.0,45.0,20.0,3.0,7.0,0.0,0.0,22.0,0.0,1.0,66.0,0.0
2019-01-14,0.0,45.0,10.0,33.0,28.0,2.0,6.0,0.0,0.0,16.0,0.0,1.0,88.0,0.0
2019-01-15,0.0,54.0,15.0,34.0,15.0,5.0,6.0,0.0,0.0,30.0,0.0,1.0,87.0,0.0
2019-01-16,0.0,50.0,13.0,33.0,14.0,2.0,7.0,0.0,0.0,24.0,1.0,1.0,94.0,0.0
2019-01-17,0.0,44.0,16.0,35.0,24.0,2.0,10.0,0.0,0.0,20.0,0.0,1.0,90.0,0.0
2019-01-18,0.0,53.0,13.0,44.0,19.0,1.0,7.0,0.0,0.0,23.0,0.0,1.0,76.0,0.0
2019-01-19,0.0,49.0,12.0,41.0,16.0,2.0,7.0,0.0,0.0,24.0,0.0,1.0,81.0,0.0
2019-01-20,0.0,37.0,5.0,36.0,16.0,4.0,7.0,0.0,0.0,24.0,0.0,0.0,80.0,0.0
2019-01-21,0.0,37.0,18.0,42.0,17.0,3.0,7.0,0.0,0.0,19.0,0.0,2.0,84.0,0.0
2019-01-22,1.0,60.0,12.0,38.0,14.0,1.0,5.0,0.0,0.0,25.0,0.0,0.0,81.0,0.0
2019-01-23,0.0,49.0,14.0,31.0,13.0,2.0,12.0,0.0,0.0,18.0,0.0,1.0,85.0,0.0
2019-01-24,0.0,40.0,16.0,35.0,11.0,2.0,5.0,0.0,0.0,14.0,0.0,0.0,79.0,0.0
2019-01-25,0.0,43.0,10.0,31.0,19.0,0.0,3.0,0.0,0.0,17.0,0.0,1.0,80.0,0.0
2019-01-26,0.0,33.0,12.0,23.0,15.0,1.0,6.0,0.0,0.0,19.0,0.0,1.0,84.0,0.0
2019-01-27,0.0,43.0,14.0,33.0,14.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,68.0,0.0
2019-01-28,0.0,49.0,10.0,28.0,22.0,1.0,9.0,0.0,0.0,14.0,0.0,0.0,94.0,0.0
2019-01-29,0.0,38.0,25.0,38.0,18.0,3.0,9.0,0.0,0.0,24.0,0.0,3.0,79.0,0.0
2019-01-30,0.0,58.0,11.0,38.0,16.0,5.0,7.0,0.0,0.0,20.0,0.0,0.0,88.0,0.0
2019-01-31,0.0,47.0,13.0,33.0,24.0,1.0,6.0,0.0,0.0,17.0,0.0,2.0,76.0,0.0
2019-02-01,0.0,51.0,13.0,49.0,23.0,2.0,4.0,0.0,0.0,22.0,0.0,1.0,65.0,0.0
