DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,0.0,11.0,22.0,20.0,19.0,5.0,4.0,0.0,0.0,14.0,1.0,1.0,110.0,0.0
2019-01-02,0.0,14.0,20.0,34.0,21.0,3.0,4.0,0.0,0.0,11.0,4.0,2.0,111.0,0.0
2019-01-03,0.0,15.0,15.0,16.0,15.0,8.0,6.0,0.0,0.0,11.0,0.0,1.0,78.0,0.0
2019-01-04,1.0,16.0,21.0,21.0,15.0,3.0,0.0,0.0,0.0,12.0,1.0,0.0,88.0,0.0
2019-01-05,0.0,13.0,16.0,28.0,20.0,9.0,7.0,0.0,0.0,10.0,2.0,0.0,108.0,0.0
2019-01-06,1.0,16.0,11.0,24.0,18.0,7.0,7.0,0.0,0.0,12.0,0.0,0.0,64.0,0.0
2019-01-07,0.0,20.0,16.0,17.0,19.0,5.0,4.0,0.0,0.0,7.0,1.0,0.0,89.0,0.0
2019-01-08,0.0,14.0,17.0,21.0,15.0,7.0,5.0,0.0,0.0,14.0,3.0,0.0,83.0,0.0
2019-01-09,0.0,20.0,22.0,18.0,16.0,3.0,3.0,0.0,0.0,15.0,1.0,0.0,89.0,0.0
2019-01-10,0.0,14.0,16.0,19.0,29.0,7.0,2.0,0.0,0.0,14.0,2.0,1.0,98.0,0.0
2019-01-11,0.0,17.0,11.0,29.0,15.0,6.0,7.0,0.0,0.0,10.0,3.0,1.0,88.0,0.0
2019-01-12,0.0,18.0,20.0,17.0,13.0,2.0,5.0,0.0,0.0,12.0,2.0,0.0,89.0,0.0
2019-01-13,1.0,21.0,14.0,20.0,20.0,8.0,4.0,0.0,0.0,8.0,3.0,0.0,103.0,0.0
2019-01-14,1.0,12.0,16.0,19.0,15.0,10.0,8.0,0.0,0.0,11.0,1.0,0.0,98.0,0.0
2019-01-15,0.0,14.0,18.0,24.0,23.0,7.0,6.0,0.0,0.0,15.0,2.0,0.0,93.0,0.0
2019-01-16,0.0,20.0,13.0,19.0,14.0,7.0,3.0,0.0,0.0,14.0,2.0,0.0,100.0,0.0
2019-01-17,0.0,19.0,13.0,21.0,18.0,5.0,3.0,0.0,0.0,13.0,3.0,2.0,80.0,0.0
2019-01-18,0.0,22.0,18.0,23.0,17.0,3.0,3.0,0.0,0.0,16.0,0.0,0.0,100.0,0.0
2019-01-19,0.0,16.0,14.0,21.0,15.0,6.0,3.0,0.0,0.0,10.0,2.0,0.0,90.0,0.0
2019-01-20,0.0,16.0,12.0,20.0,14.0,6.0,3.0,0.0,0.0,6.0,1.0,0.0,96.0,0.0
2019-01-21,0.0,25.0,17.0,24.0,8.0,7.0,2.0,0.0,0.0,6.0,2.0,0.0,93.0,0.0
2019-01-22,0.0,18.0,16.0,32.0,24.0,7.0,3.0,0.0,0.0,11.0,0.0,0.0,76.0,0.0
2019-01-23,0.0,16.0,18.0,16.0,29.0,4.0,4.0,0.0,0.0,12.0,1.0,0.0,90.0,0.0
2019-01-24,2.0,14.0,23.0,31.0,24.0,3.0,6.0,0.0,0.0,10.0,2.0,1.0,93.0,0.0
2019-01-25,0.0,15.0,13.0,20.0,16.0,8.0,4.0,0.0,0.0,15.0,3.0,0.0,101.0,0.0
2019-01-26,0.0,18.0,14.0,17.0,13.0,5.0,3.0,0.0,0.0,10.0,0.0,1.0,88.0,0.0
2019-01-27,0.0,17.0,15.0,25.0,21.0,7.0,4.0,0.0,0.0,5.0,2.0,0.0,89.0,0.0
2019-01-28,0.0,24.0,21.0,17.0,17.0,9.0,7.0,0.0,0.0,9.0,2.0,2.0,83.0,0.0
2019-01-29,0.0,21.0,14.0,22.0,17.0,5.0,3.0,0.0,0.0,14.0,2.0,0.0,80.0,0.0
2019-01-30,0.0,16.0,18.0,31.0,19.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,87.0,0.0
2019-01-31,0.0,20.0,10.0,23.0,19.0,6.0,2.0,0.0,0.0,8.0,0.0,0.0,83.0,0.0
2019-02-01,1.0,16.0,21.0,25.0,16.0,6.0,5.0,0.0,0.0,14.0,2.0,0.0,98.0,0.0
2019-02-02,0.0,15.0,9.0,18.0,31.0,10.0,3.0,0.0,0.0,11.0,3.0,0.0,71.0,0.0
2019-02-03,0.0,21.0,10.0,20.0,25.0,13.0,8.0,0.0,0.0,10.0,2.0,0.0,96.0,0.0
2019-02-04,0.0,18.0,20.0,26.0,17.0,6.0,10.0,0.0,0.0,9.0,1.0,0.0,93.0,0.0
2019-02-05,0.0,18.0,25.0,17.0,10.0,5.0,6.0,0.0,0.0,14.0,2.0,0.0,87.0,0.0
2019-02-06,0.0,16.0,16.0,27.0,23.0,4.0,2.0,0.0,0.0,10.0,2.0,1.0,91.0,0.0
2019-02-07,0.0,12.0,24.0,21.0,21.0,6.0,5.0,0.0,0.0,9.0,4.0,1.0,111.0,0.0
