DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,0.0,13.0,8.0,11.0,9.0,3.0,2.0,0.0,0.0,12.0,0.0,0.0,28.0,0.0
2019-01-02,0.0,3.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,32.0,0.0
2019-01-03,0.0,14.0,6.0,10.0,8.0,2.0,3.0,0.0,0.0,11.0,2.0,0.0,21.0,0.0
2019-01-04,0.0,14.0,1.0,9.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,26.0,0.0
2019-01-05,0.0,15.0,4.0,8.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
2019-01-06,0.0,12.0,4.0,12.0,4.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0
2019-01-07,1.0,9.0,3.0,5.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,17.0,0.0
2019-01-08,0.0,12.0,2.0,8.0,10.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,23.0,0.0
2019-01-09,0.0,12.0,5.0,8.0,5.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,25.0,0.0
2019-01-10,0.0,8.0,3.0,9.0,6.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,33.0,0.0
2019-01-11,0.0,9.0,5.0,8.0,8.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,17.0,0.0
2019-01-12,0.0,10.0,1.0,6.0,11.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,26.0,0.0
2019-01-13,0.0,12.0,1.0,10.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,22.0,0.0
2019-01-14,0.0,5.0,1.0,6.0,8.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,22.0,0.0
2019-01-15,0.0,11.0,4.0,5.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,17.0,0.0
2019-01-16,0.0,10.0,2.0,7.0,13.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0
2019-01-17,0.0,9.0,2.0,5.0,6.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,18.0,0.0
2019-01-18,0.0,9.0,7.0,12.0,8.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,28.0,0.0
2019-01-19,1.0,11.0,8.0,10.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,33.0,0.0
