DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,0.0,47.0,27.0,49.0,27.0,5.0,6.0,0.0,0.0,19.0,3.0,5.0,138.0,0.0
2019-01-02,2.0,42.0,22.0,44.0,16.0,12.0,8.0,0.0,0.0,15.0,4.0,7.0,144.0,0.0
2019-01-03,1.0,48.0,22.0,43.0,31.0,15.0,10.0,0.0,0.0,22.0,5.0,4.0,124.0,0.0
2019-01-04,0.0,39.0,21.0,41.0,28.0,6.0,10.0,0.0,0.0,26.0,4.0,4.0,114.0,0.0
2019-01-05,0.0,45.0,26.0,55.0,27.0,10.0,12.0,0.0,0.0,14.0,6.0,5.0,130.0,0.0
2019-01-06,0.0,45.0,13.0,45.0,31.0,3.0,9.0,0.0,0.0,12.0,4.0,2.0,144.0,0.0
2019-01-07,0.0,50.0,23.0,46.0,28.0,7.0,12.0,0.0,0.0,13.0,1.0,3.0,129.0,0.0
2019-01-08,0.0,63.0,25.0,41.0,30.0,15.0,10.0,0.0,0.0,22.0,3.0,3.0,135.0,0.0
2019-01-09,0.0,37.0,24.0,49.0,23.0,9.0,12.0,0.0,0.0,18.0,4.0,3.0,121.0,0.0
2019-01-10,1.0,50.0,24.0,39.0,29.0,9.0,9.0,0.0,0.0,20.0,4.0,5.0,122.0,0.0
2019-01-11,0.0,47.0,30.0,46.0,30.0,4.0,10.0,0.0,0.0,19.0,1.0,3.0,142.0,0.0
2019-01-12,0.0,54.0,25.0,46.0,17.0,8.0,10.0,0.0,0.0,17.0,2.0,4.0,130.0,0.0
2019-01-13,0.0,37.0,25.0,40.0,24.0,9.0,6.0,0.0,0.0,18.0,2.0,5.0,144.0,0.0
2019-01-14,0.0,65.0,26.0,37.0,25.0,4.0,11.0,0.0,0.0,18.0,4.0,2.0,125.0,0.0
2019-01-15,0.0,50.0,21.0,50.0,27.0,5.0,11.0,0.0,0.0,11.0,3.0,3.0,119.0,0.0
2019-01-16,0.0,61.0,33.0,47.0,34.0,15.0,7.0,0.0,0.0,14.0,6.0,6.0,135.0,0.0
2019-01-17,1.0,47.0,21.0,55.0,26.0,6.0,14.0,0.0,0.0,11.0,2.0,7.0,125.0,0.0
2019-01-18,0.0,54.0,16.0,49.0,31.0,5.0,19.0,0.0,0.0,13.0,2.0,3.0,134.0,0.0
2019-01-19,1.0,52.0,21.0,53.0,20.0,7.0,6.0,0.0,0.0,20.0,5.0,3.0,140.0,0.0
2019-01-20,0.0,53.0,19.0,58.0,30.0,10.0,7.0,0.0,0.0,12.0,2.0,5.0,152.0,0.0
2019-01-21,2.0,72.0,22.0,50.0,23.0,11.0,11.0,0.0,0.0,13.0,3.0,8.0,137.0,0.0
2019-01-22,0.0,41.0,20.0,33.0,34.0,12.0,9.0,0.0,0.0,19.0,7.0,5.0,134.0,0.0
2019-01-23,0.0,58.0,32.0,47.0,26.0,7.0,10.0,0.0,0.0,9.0,7.0,2.0,121.0,0.0
2019-01-24,0.0,47.0,28.0,33.0,25.0,7.0,8.0,0.0,0.0,14.0,3.0,6.0,115.0,0.0
2019-01-25,0.0,46.0,24.0,41.0,37.0,3.0,9.0,0.0,0.0,18.0,3.0,6.0,142.0,0.0
2019-01-26,1.0,53.0,22.0,45.0,24.0,8.0,11.0,0.0,0.0,19.0,5.0,8.0,131.0,0.0
2019-01-27,1.0,50.0,16.0,49.0,30.0,12.0,10.0,0.0,0.0,18.0,2.0,4.0,145.0,0.0
2019-01-28,0.0,44.0,29.0,30.0,16.0,7.0,7.0,0.0,0.0,13.0,2.0,7.0,123.0,0.0
2019-01-29,0.0,44.0,30.0,44.0,15.0,10.0,9.0,0.0,0.0,19.0,4.0,4.0,128.0,0.0
2019-01-30,0.0,49.0,8.0,44.0,19.0,13.0,12.0,0.0,0.0,14.0,0.0,5.0,121.0,0.0
2019-01-31,0.0,37.0,31.0,42.0,26.0,10.0,9.0,0.0,0.0,18.0,3.0,7.0,141.0,0.0
2019-02-01,0.0,44.0,26.0,45.0,23.0,6.0,13.0,0.0,0.0,17.0,2.0,1.0,151.0,0.0
2019-02-02,1.0,59.0,27.0,50.0,32.0,14.0,8.0,0.0,0.0,14.0,3.0,11.0,163.0,0.0
2019-02-03,0.0,59.0,18.0,56.0,26.0,8.0,6.0,0.0,0.0,23.0,5.0,4.0,136.0,0.0
2019-02-04,0.0,41.0,23.0,43.0,27.0,12.0,14.0,0.0,0.0,15.0,1.0,6.0,148.0,0.0
2019-02-05,0.0,51.0,17.0,42.0,30.0,4.0,15.0,0.0,0.0,19.0,1.0,5.0,113.0,0.0
2019-02-06,0.0,42.0,20.0,43.0,19.0,8.0,12.0,0.0,0.0,14.0,2.0,4.0,120.0,0.0
2019-02-07,2.0,44.0,30.0,40.0,23.0,6.0,7.0,0.0,0.0,11.0,4.0,8.0,119.0,0.0
2019-02-08,1.0,42.0,17.0,42.0,26.0,13.0,9.0,0.0,0.0,10.0,3.0,6.0,146.0,0.0
2019-02-09,0.0,56.0,34.0,41.0,31.0,16.0,10.0,0.0,0.0,14.0,6.0,5.0,149.0,0.0
2019-02-10,0.0,44.0,23.0,48.0,24.0,7.0,10.0,0.0,0.0,19.0,5.0,11.0,136.0,0.0
2019-02-11,2.0,53.0,23.0,43.0,26.0,7.0,8.0,0.0,0.0,22.0,3.0,6.0,125.0,0.0
2019-02-12,0.0,38.0,24.0,47.0,27.0,9.0,8.0,0.0,0.0,19.0,2.0,11.0,122.0,0.0
2019-02-13,1.0,35.0,25.0,41.0,21.0,5.0,13.0,0.0,0.0,15.0,7.0,3.0,113.0,0.0
2019-02-14,0.0,33.0,26.0,49.0,26.0,8.0,8.0,0.0,0.0,22.0,3.0,3.0,113.0,0.0
2019-02-15,0.0,44.0,22.0,47.0,32.0,6.0,9.0,0.0,0.0,20.0,2.0,7.0,123.0,0.0
2019-02-16,4.0,27.0,27.0,46.0,26.0,9.0,15.0,0.0,0.0,12.0,3.0,4.0,142.0,0.0
2019-02-17,0.0,41.0,25.0,39.0,19.0,5.0,11.0,0.0,0.0,15.0,4.0,4.0,135.0,0.0
2019-02-18,0.0,40.0,13.0,26.0,22.0,9.0,7.0,0.0,0.0,13.0,4.0,6.0,125.0,0.0
2019-02-19,0.0,37.0,21.0,42.0,25.0,2.0,12.0,0.0,0.0,15.0,4.0,1.0,111.0,0.0
2019-02-20,0.0,44.0,25.0,39.0,32.0,10.0,5.0,0.0,0.0,13.0,4.0,1.0,139.0,0.0
2019-02-21,1.0,47.0,26.0,58.0,28.0,10.0,6.0,0.0,0.0,18.0,2.0,5.0,119.0,0.0
2019-02-22,0.0,60.0,35.0,38.0,19.0,10.0,7.0,0.0,0.0,18.0,5.0,8.0,106.0,0.0
2019-02-23,0.0,40.0,20.0,42.0,13.0,6.0,7.0,0.0,0.0,20.0,0.0,6.0,155.0,0.0
2019-02-24,2.0,43.0,21.0,55.0,25.0,6.0,10.0,0.0,0.0,21.0,5.0,7.0,127.0,0.0
2019-02-25,2.0,40.0,23.0,51.0,39.0,8.0,21.0,0.0,0.0,13.0,6.0,4.0,143.0,0.0
2019-02-26,1.0,33.0,26.0,53.0,28.0,11.0,9.0,0.0,0.0,21.0,3.0,4.0,126.0,0.0
2019-02-27,0.0,47.0,18.0,46.0,35.0,7.0,10.0,0.0,0.0,10.0,7.0,4.0,127.0,0.0
2019-02-28,0.0,42.0,21.0,44.0,24.0,4.0,12.0,0.0,0.0,15.0,2.0,6.0,126.0,0.0
2019-03-01,0.0,50.0,21.0,48.0,20.0,10.0,9.0,0.0,0.0,17.0,2.0,4.0,129.0,0.0
2019-03-02,0.0,48.0,18.0,47.0,33.0,8.0,11.0,0.0,0.0,17.0,2.0,2.0,142.0,0.0
2019-03-03,1.0,36.0,30.0,38.0,21.0,9.0,9.0,0.0,0.0,14.0,3.0,8.0,145.0,0.0
2019-03-04,1.0,40.0,18.0,39.0,28.0,8.0,5.0,0.0,0.0,14.0,1.0,7.0,148.0,0.0
2019-03-05,1.0,50.0,17.0,51.0,28.0,7.0,12.0,0.0,0.0,15.0,3.0,8.0,121.0,0.0
