DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,0.0,23.0,7.0,15.0,21.0,5.0,4.0,0.0,0.0,14.0,1.0,1.0,71.0,0.0
2019-01-02,0.0,25.0,5.0,31.0,13.0,5.0,5.0,0.0,0.0,12.0,2.0,1.0,80.0,0.0
2019-01-03,1.0,39.0,13.0,22.0,21.0,11.0,4.0,0.0,0.0,12.0,0.0,0.0,69.0,0.0
2019-01-04,0.0,20.0,12.0,29.0,16.0,5.0,3.0,0.0,0.0,21.0,0.0,0.0,61.0,0.0
2019-01-05,0.0,27.0,13.0,14.0,11.0,4.0,6.0,0.0,0.0,10.0,0.0,2.0,64.0,0.0
2019-01-06,0.0,19.0,7.0,24.0,22.0,4.0,3.0,0.0,0.0,11.0,1.0,1.0,56.0,0.0
2019-01-07,0.0,28.0,15.0,31.0,17.0,7.0,2.0,0.0,0.0,13.0,3.0,1.0,74.0,0.0
2019-01-08,0.0,19.0,4.0,26.0,18.0,4.0,7.0,0.0,0.0,13.0,0.0,0.0,72.0,0.0
2019-01-09,0.0,21.0,14.0,18.0,14.0,7.0,4.0,0.0,0.0,11.0,4.0,0.0,57.0,0.0
2019-01-10,0.0,20.0,11.0,25.0,20.0,5.0,5.0,0.0,0.0,17.0,1.0,1.0,73.0,0.0
2019-01-11,1.0,17.0,14.0,17.0,12.0,6.0,7.0,0.0,0.0,9.0,0.0,0.0,74.0,0.0
2019-01-12,1.0,18.0,12.0,22.0,19.0,7.0,4.0,0.0,0.0,8.0,2.0,1.0,63.0,0.0
2019-01-13,0.0,15.0,9.0,28.0,16.0,3.0,3.0,0.0,0.0,19.0,2.0,1.0,58.0,0.0
2019-01-14,0.0,27.0,15.0,27.0,19.0,6.0,8.0,0.0,0.0,18.0,0.0,3.0,74.0,0.0
2019-01-15,0.0,25.0,9.0,26.0,17.0,4.0,4.0,0.0,0.0,21.0,3.0,0.0,88.0,0.0
2019-01-16,0.0,21.0,11.0,23.0,14.0,4.0,5.0,0.0,0.0,9.0,2.0,1.0,71.0,0.0
2019-01-17,0.0,25.0,9.0,23.0,9.0,7.0,3.0,0.0,0.0,22.0,0.0,3.0,72.0,0.0
2019-01-18,0.0,21.0,7.0,14.0,13.0,3.0,7.0,0.0,0.0,18.0,3.0,0.0,70.0,0.0
2019-01-19,0.0,25.0,16.0,24.0,11.0,4.0,2.0,0.0,0.0,9.0,0.0,1.0,79.0,0.0
2019-01-20,0.0,29.0,7.0,26.0,16.0,7.0,3.0,0.0,0.0,12.0,4.0,0.0,64.0,0.0
2019-01-21,0.0,19.0,8.0,27.0,23.0,2.0,4.0,0.0,0.0,16.0,3.0,2.0,73.0,0.0
2019-01-22,0.0,23.0,12.0,17.0,6.0,5.0,6.0,0.0,0.0,15.0,0.0,1.0,66.0,0.0
2019-01-23,2.0,22.0,11.0,23.0,21.0,8.0,1.0,0.0,0.0,12.0,1.0,1.0,79.0,0.0
2019-01-24,0.0,17.0,13.0,23.0,16.0,7.0,6.0,0.0,0.0,13.0,3.0,2.0,78.0,0.0
2019-01-25,0.0,23.0,9.0,15.0,18.0,6.0,5.0,0.0,0.0,6.0,0.0,0.0,83.0,0.0
2019-01-26,0.0,13.0,12.0,21.0,17.0,3.0,5.0,0.0,0.0,9.0,2.0,1.0,75.0,0.0
2019-01-27,0.0,23.0,11.0,18.0,13.0,3.0,6.0,0.0,0.0,14.0,1.0,2.0,76.0,0.0
2019-01-28,0.0,19.0,11.0,26.0,16.0,3.0,7.0,0.0,0.0,15.0,0.0,0.0,63.0,0.0
2019-01-29,0.0,29.0,11.0,25.0,12.0,2.0,8.0,0.0,0.0,13.0,0.0,0.0,73.0,0.0
2019-01-30,0.0,28.0,7.0,28.0,18.0,3.0,9.0,0.0,0.0,11.0,0.0,0.0,69.0,0.0
2019-01-31,0.0,35.0,6.0,21.0,8.0,1.0,4.0,0.0,0.0,15.0,1.0,1.0,80.0,0.0
2019-02-01,0.0,34.0,20.0,17.0,18.0,7.0,0.0,0.0,0.0,16.0,2.0,2.0,58.0,0.0
2019-02-02,0.0,24.0,18.0,28.0,24.0,6.0,4.0,0.0,0.0,16.0,2.0,1.0,71.0,0.0
2019-02-03,0.0,36.0,9.0,25.0,28.0,6.0,3.0,0.0,0.0,15.0,1.0,1.0,69.0,0.0
2019-02-04,0.0,17.0,11.0,23.0,16.0,5.0,2.0,0.0,0.0,12.0,4.0,0.0,51.0,0.0
2019-02-05,0.0,20.0,10.0,16.0,15.0,2.0,5.0,0.0,0.0,18.0,0.0,0.0,57.0,0.0
2019-02-06,0.0,29.0,12.0,23.0,16.0,4.0,5.0,0.0,0.0,17.0,1.0,2.0,59.0,0.0
2019-02-07,2.0,27.0,5.0,20.0,24.0,5.0,7.0,0.0,0.0,12.0,1.0,0.0,68.0,0.0
2019-02-08,0.0,25.0,16.0,29.0,17.0,6.0,4.0,0.0,0.0,10.0,1.0,1.0,68.0,0.0
2019-02-09,1.0,20.0,6.0,18.0,14.0,4.0,4.0,0.0,0.0,6.0,2.0,1.0,69.0,0.0
2019-02-10,0.0,24.0,8.0,32.0,12.0,4.0,4.0,0.0,0.0,15.0,0.0,1.0,83.0,0.0
2019-02-11,1.0,23.0,15.0,17.0,26.0,6.0,2.0,0.0,0.0,15.0,5.0,1.0,68.0,0.0
2019-02-12,0.0,30.0,7.0,15.0,10.0,2.0,4.0,0.0,0.0,15.0,0.0,1.0,57.0,0.0
2019-02-13,0.0,23.0,8.0,21.0,13.0,5.0,6.0,0.0,0.0,5.0,1.0,1.0,63.0,0.0
2019-02-14,0.0,33.0,10.0,25.0,20.0,2.0,3.0,0.0,0.0,22.0,3.0,1.0,67.0,0.0
