DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,2.0,73.0,21.0,59.0,24.0,8.0,10.0,0.0,0.0,35.0,4.0,1.0,147.0,0.0
2019-01-02,0.0,53.0,15.0,56.0,18.0,8.0,11.0,0.0,0.0,33.0,3.0,0.0,154.0,0.0
2019-01-03,3.0,54.0,19.0,66.0,34.0,12.0,15.0,0.0,0.0,36.0,0.0,0.0,153.0,0.0
2019-01-04,0.0,59.0,21.0,83.0,22.0,11.0,17.0,0.0,0.0,38.0,0.0,1.0,176.0,0.0
2019-01-05,1.0,53.0,27.0,73.0,23.0,8.0,12.0,0.0,0.0,39.0,3.0,1.0,129.0,0.0
2019-01-06,0.0,47.0,24.0,44.0,32.0,8.0,11.0,0.0,0.0,28.0,2.0,2.0,129.0,0.0
2019-01-07,0.0,53.0,25.0,79.0,24.0,16.0,11.0,0.0,0.0,34.0,2.0,0.0,150.0,0.0
2019-01-08,0.0,59.0,28.0,58.0,28.0,13.0,13.0,0.0,0.0,34.0,0.0,0.0,152.0,0.0
2019-01-09,0.0,67.0,24.0,54.0,29.0,11.0,10.0,0.0,0.0,30.0,0.0,1.0,148.0,0.0
2019-01-10,1.0,68.0,20.0,71.0,16.0,12.0,8.0,0.0,0.0,26.0,1.0,0.0,146.0,0.0
2019-01-11,0.0,61.0,24.0,65.0,27.0,9.0,25.0,0.0,0.0,30.0,0.0,0.0,128.0,0.0
2019-01-12,0.0,64.0,26.0,58.0,23.0,11.0,13.0,0.0,0.0,35.0,1.0,0.0,122.0,0.0
2019-01-13,0.0,50.0,28.0,53.0,25.0,9.0,14.0,0.0,0.0,32.0,0.0,0.0,160.0,0.0
2019-01-14,0.0,52.0,17.0,68.0,17.0,16.0,12.0,0.0,0.0,38.0,1.0,0.0,140.0,0.0
2019-01-15,0.0,71.0,30.0,67.0,25.0,16.0,12.0,0.0,0.0,33.0,1.0,0.0,139.0,0.0
2019-01-16,0.0,51.0,26.0,65.0,22.0,14.0,15.0,0.0,0.0,36.0,2.0,0.0,162.0,0.0
2019-01-17,1.0,62.0,25.0,60.0,26.0,6.0,17.0,0.0,0.0,42.0,1.0,0.0,174.0,0.0
2019-01-18,0.0,57.0,19.0,65.0,27.0,13.0,19.0,0.0,0.0,49.0,0.0,0.0,151.0,0.0
