DATA,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,AVC,CARDIOPATIA,CHOQUE CARDIOPATICO,AVC (COVID),INFARTO (COVID),INFARTO,SUBITA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,1.0,172.0,59.0,102.0,59.0,9.0,19.0,0.0,0.0,75.0,1.0,3.0,305.0,0.0
2019-01-02,1.0,161.0,56.0,98.0,89.0,10.0,24.0,0.0,0.0,81.0,4.0,4.0,263.0,0.0
2019-01-03,2.0,169.0,55.0,104.0,75.0,11.0,33.0,0.0,0.0,88.0,1.0,1.0,303.0,0.0
2019-01-04,2.0,165.0,47.0,89.0,83.0,14.0,23.0,0.0,0.0,84.0,2.0,4.0,264.0,0.0
2019-01-05,1.0,141.0,53.0,93.0,65.0,12.0,20.0,0.0,0.0,85.0,3.0,2.0,303.0,0.0
2019-01-06,1.0,168.0,45.0,87.0,75.0,6.0,16.0,0.0,0.0,80.0,0.0,0.0,256.0,0.0
2019-01-07,1.0,172.0,48.0,93.0,66.0,9.0,16.0,0.0,0.0,78.0,3.0,7.0,262.0,0.0
2019-01-08,0.0,171.0,55.0,103.0,73.0,23.0,27.0,0.0,0.0,75.0,1.0,4.0,273.0,0.0
2019-01-09,0.0,176.0,65.0,111.0,72.0,10.0,23.0,0.0,0.0,70.0,1.0,2.0,275.0,0.0
2019-01-10,0.0,183.0,58.0,104.0,66.0,19.0,21.0,0.0,0.0,70.0,4.0,4.0,323.0,0.0
2019-01-11,0.0,145.0,58.0,122.0,66.0,18.0,22.0,0.0,0.0,72.0,3.0,4.0,294.0,0.0
2019-01-12,0.0,162.0,53.0,97.0,67.0,18.0,22.0,0.0,0.0,88.0,1.0,0.0,285.0,0.0
2019-01-13,1.0,166.0,59.0,111.0,63.0,11.0,26.0,0.0,0.0,67.0,3.0,4.0,274.0,0.0
2019-01-14,0.0,151.0,55.0,101.0,73.0,11.0,19.0,0.0,0.0,65.0,4.0,4.0,287.0,0.0
2019-01-15,0.0,170.0,60.0,103.0,59.0,18.0,28.0,0.0,0.0,76.0,0.0,4.0,300.0,0.0
2019-01-16,0.0,158.0,64.0,102.0,68.0,9.0,22.0,0.0,0.0,73.0,2.0,4.0,316.0,0.0
2019-01-17,1.0,155.0,57.0,107.0,80.0,14.0,27.0,0.0,0.0,64.0,2.0,4.0,281.0,0.0
2019-01-18,1.0,180.0,75.0,123.0,60.0,11.0,17.0,0.0,0.0,69.0,0.0,5.0,262.0,0.0
2019-01-19,0.0,180.0,47.0,115.0,63.0,15.0,19.0,0.0,0.0,73.0,5.0,5.0,287.0,0.0
2019-01-20,0.0,141.0,53.0,110.0,63.0,19.0,25.0,0.0,0.0,82.0,6.0,4.0,303.0,0.0
2019-01-21,0.0,165.0,63.0,123.0,78.0,14.0,16.0,0.0,0.0,70.0,1.0,4.0,294.0,0.0
2019-01-22,2.0,178.0,56.0,110.0,57.0,14.0,20.0,0.0,0.0,73.0,7.0,3.0,288.0,0.0
2019-01-23,0.0,177.0,59.0,111.0,76.0,16.0,30.0,0.0,0.0,72.0,6.0,5.0,334.0,0.0
2019-01-24,0.0,152.0,60.0,105.0,60.0,11.0,23.0,0.0,0.0,69.0,4.0,4.0,304.0,0.0
2019-01-25,2.0,149.0,58.0,108.0,68.0,6.0,19.0,0.0,0.0,69.0,4.0,4.0,311.0,0.0
2019-01-26,0.0,142.0,50.0,77.0,54.0,14.0,25.0,0.0,0.0,73.0,3.0,3.0,247.0,0.0
2019-01-27,0.0,159.0,51.0,123.0,57.0,13.0,21.0,0.0,0.0,59.0,1.0,1.0,257.0,0.0
2019-01-28,0.0,147.0,38.0,95.0,68.0,13.0,25.0,0.0,0.0,65.0,5.0,4.0,307.0,0.0
2019-01-29,1.0,145.0,64.0,107.0,61.0,12.0,29.0,0.0,0.0,83.0,2.0,6.0,274.0,0.0
2019-01-30,0.0,180.0,60.0,115.0,68.0,18.0,26.0,0.0,0.0,69.0,6.0,4.0,322.0,0.0
2019-01-31,1.0,168.0,61.0,116.0,79.0,12.0,21.0,0.0,0.0,67.0,2.0,6.0,292.0,0.0
2019-02-01,0.0,176.0,58.0,135.0,77.0,11.0,18.0,0.0,0.0,72.0,6.0,2.0,288.0,0.0
2019-02-02,0.0,185.0,76.0,135.0,80.0,12.0,19.0,0.0,0.0,90.0,3.0,2.0,333.0,0.0
2019-02-03,1.0,184.0,52.0,127.0,87.0,15.0,11.0,0.0,0.0,72.0,4.0,8.0,322.0,0.0
2019-02-04,1.0,131.0,52.0,109.0,76.0,18.0,24.0,0.0,0.0,75.0,1.0,6.0,292.0,0.0
2019-02-05,2.0,146.0,65.0,113.0,67.0,13.0,21.0,0.0,0.0,74.0,1.0,3.0,257.0,0.0
2019-02-06,0.0,152.0,59.0,83.0,55.0,12.0,29.0,0.0,0.0,72.0,3.0,4.0,271.0,0.0
2019-02-07,0.0,152.0,42.0,98.0,73.0,8.0,13.0,0.0,0.0,74.0,5.0,0.0,276.0,0.0
