Month,SRAG,PNEUMONIA,INSUFICIENCIA RESPIRATORIA,SEPTICEMIA,INDETERMINADA,DEMAIS OBITOS,COVID19
2019-01-01,1.0,38.0,11.0,30.0,0.0,80.0,0.0
2019-01-02,0.0,27.0,9.0,34.0,0.0,102.0,0.0
2019-01-03,1.0,35.0,7.0,36.0,0.0,99.0,0.0
2019-01-04,0.0,34.0,10.0,41.0,1.0,100.0,0.0
2019-01-05,0.0,30.0,13.0,45.0,0.0,84.0,0.0
2019-01-06,0.0,23.0,9.0,26.0,1.0,79.0,0.0
2019-01-07,0.0,23.0,4.0,40.0,0.0,94.0,0.0
2019-01-08,0.0,31.0,16.0,27.0,0.0,103.0,0.0
2019-01-09,0.0,38.0,9.0,29.0,0.0,93.0,0.0
2019-01-10,0.0,35.0,11.0,36.0,0.0,80.0,0.0
2019-01-11,0.0,41.0,12.0,47.0,0.0,87.0,0.0
2019-01-12,0.0,41.0,11.0,25.0,0.0,80.0,0.0
2019-01-13,0.0,27.0,12.0,28.0,0.0,99.0,0.0
2019-01-14,0.0,25.0,7.0,31.0,0.0,89.0,0.0
2019-01-15,0.0,40.0,18.0,40.0,0.0,91.0,0.0
2019-01-16,0.0,34.0,11.0,36.0,0.0,105.0,0.0
2019-01-17,1.0,37.0,10.0,36.0,0.0,119.0,0.0
2019-01-18,0.0,31.0,15.0,44.0,0.0,104.0,0.0
2019-01-19,0.0,36.0,7.0,33.0,1.0,121.0,0.0
2019-01-20,0.0,37.0,11.0,45.0,0.0,100.0,0.0
2019-01-21,2.0,32.0,14.0,28.0,0.0,110.0,0.0
2019-01-22,0.0,35.0,15.0,42.0,0.0,105.0,0.0
2019-01-23,0.0,43.0,11.0,29.0,0.0,88.0,0.0
2019-01-24,0.0,33.0,8.0,27.0,0.0,101.0,0.0
2019-01-25,0.0,23.0,11.0,27.0,0.0,96.0,0.0
2019-01-26,0.0,29.0,9.0,31.0,0.0,92.0,0.0
2019-01-27,0.0,34.0,10.0,48.0,0.0,79.0,0.0
2019-01-28,0.0,34.0,8.0,48.0,0.0,95.0,0.0
2019-01-29,0.0,34.0,8.0,29.0,0.0,90.0,0.0
2019-01-30,0.0,31.0,13.0,37.0,0.0,114.0,0.0
2019-01-31,0.0,25.0,12.0,32.0,0.0,111.0,0.0
2019-02-01,1.0,35.0,11.0,40.0,0.0,95.0,0.0
2019-02-02,0.0,35.0,9.0,42.0,0.0,125.0,0.0
2019-02-03,0.0,29.0,8.0,45.0,0.0,111.0,0.0
2019-02-04,0.0,35.0,4.0,33.0,1.0,83.0,0.0
2019-02-05,0.0,29.0,19.0,45.0,0.0,86.0,0.0
2019-02-06,0.0,34.0,7.0,29.0,0.0,87.0,0.0
2019-02-07,0.0,30.0,10.0,34.0,0.0,97.0,0.0
2019-02-08,0.0,25.0,6.0,35.0,0.0,106.0,0.0
2019-02-09,0.0,26.0,14.0,44.0,0.0,88.0,0.0
2019-02-10,0.0,37.0,9.0,47.0,0.0,105.0,0.0
2019-02-11,0.0,36.0,12.0,29.0,0.0,103.0,0.0
2019-02-12,0.0,41.0,12.0,34.0,0.0,75.0,0.0
2019-02-13,0.0,25.0,8.0,26.0,0.0,92.0,0.0
2019-02-14,0.0,32.0,13.0,27.0,0.0,94.0,0.0
2019-02-15,0.0,38.0,10.0,26.0,1.0,75.0,0.0
2019-02-16,1.0,33.0,9.0,31.0,0.0,80.0,0.0
2019-02-17,0.0,38.0,11.0,36.0,0.0,110.0,0.0
2019-02-18,0.0,30.0,8.0,30.0,0.0,83.0,0.0
2019-02-19,0.0,25.0,9.0,34.0,0.0,92.0,0.0
2019-02-20,0.0,34.0,14.0,31.0,0.0,87.0,0.0
2019-02-21,0.0,21.0,6.0,39.0,0.0,87.0,0.0
2019-02-22,0.0,27.0,10.0,33.0,0.0,76.0,0.0
